ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
15496900715,"18 ago 2025, 4:43:26",Con Lidia y Luis. Solo me picó una. 🤫,Natación,"",4206,3.117,,,false,,,activities/16549763542.fit.gz,,,4206.0,4199.0,3116.9,2.714,0.742,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,549.0,,,,,,,,,,,,,,,,0.0,,1.0,,1755489536.0,1.0,28.0,27.5,15.3,0.46,1010.8,2.3,3.8,302.0,0.0,1755494272.0,1755543168.0,0.875,,,0.53,5.0,0.24,31440.0,0.0,,,,,,0.741,0.0,,,,,0.0,0.0,,,,,,,,,,,media/280EA247-D15E-472B-8D9E-E9BBC526EC88.jpg|media/9BDB8926-C161-4FB8-86EE-3429B6E7AD32.jpg
15532436613,"21 ago 2025, 4:30:31",Albufera bike.,Bicicleta,"",5203,"43,23",,,false,,,activities/15532436613.gpx,,9.0,5203.0,5133.0,43231.6,15.48,8.422,81.3,80.2,0.6,13.6,9.7,0.0,,,,,,,,156.0,892.0,,,,,,,,,,,,,,,,0.0,,1.0,,1755748864.0,1.0,21.9,22.3,19.1,0.84,1010.8,1.4,2.5,293.0,0.0,1755753600.0,1755802112.0,0.875,,,0.41,5.0,0.11,30120.0,0.0,,,,,,8.309,41.1,,,,,0.0,,,,,,,,,,,,media/36053747-0D71-4C28-A6AD-46FB50BEEB85.jpg
15555345155,"23 ago 2025, 5:16:42",10k con buena gente.el reloj una patata.,Natación,"",14751,3.111,,,false,,,activities/16613349380.fit.gz,,,14751.0,14744.0,3110.8,2.376,0.211,0.0,0.0,-0.2,0.0,0.2,0.0,,,,,,,,,515.0,,,,,,,,,,,,,,,,0.0,,1.0,,1755925248.0,1.0,22.1,22.3,19.3,0.84,1015.8,1.8,2.8,339.0,0.0,1755926400.0,1755974784.0,0.0,,,0.0,1.0,0.13,26686.0,0.0,,,,,,0.211,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,media/CBD083D8-B1DF-4A99-AB86-072F5ADB20E2.jpg|media/2FEA05F7-EEA5-4F1E-B539-2C2EA00A63E4.jpg
15635196502,"30 ago 2025, 5:38:32",Con TRICMP.,Bicicleta,"",16840,"69,58",,,false,,,activities/15635196502.gpx,,9.0,16840.0,10916.0,69583.9,13.36,6.374,304.6,304.7,7.1,217.9,14.2,0.0,,,,,,,,104.0,1267.0,,,,,,,,,,,,,,,,0.0,,1.0,,1756530048.0,1.0,20.0,18.7,11.3,0.57,1013.2,2.1,3.5,287.0,0.0,1756531712.0,1756578944.0,0.125,,,0.0,1.0,0.0,33332.0,0.0,,,,,,4.132,4203.8,,,,,0.0,,,,,,,,,,,,media/2CA8EB93-EE10-472D-873A-BD515FAF2876.jpg|media/89A2A1BB-A436-498E-A9C0-E11092B139F6.jpg|media/62658516-197C-43FB-9318-D5653AA17EC3.jpg|media/C5FC003F-99A7-4C74-9B0E-B21B70CEF187.jpg|media/731E5E1E-FB60-43A2-B5A3-7E3081866AB7.jpg
15646076930,"31 ago 2025, 6:51:40",Natación de mañana,Natación,,5672,541,,,false,,,activities/16711482131.fit.gz,,,5672.0,5664.0,540.6,2.297,0.095,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,546.0,,,,,,,,,,,,,,,,0.0,,1.0,,1756620032.0,1.0,22.4,23.1,18.0,0.76,1012.0,1.7,2.8,320.0,0.0,1756618112.0,1756665216.0,0.25,,,0.0,1.0,0.11,29555.0,0.0,,,,,,0.095,0.0,,,,,0.0,0.0,,,,,,,,,,,""
15655771805,"1 sept 2025, 5:12:47",Vuelta a la rutina. 1x4.,Natación,"",3059,2.650,,,false,,,activities/16722149928.fit.gz,,,3059.0,3043.0,2650.0,2.063,0.871,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,355.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866,0.0,,,,,0.0,25.0,,,,,,0.0,,,,,media/A3D04BE4-2498-4F3A-AD2A-F42A07C344E5.jpg
15667086444,"2 sept 2025, 5:14:59",Natación de mañana,Natación,"",3316,2.900,,,false,,,activities/16734535519.fit.gz,,,3316.0,3284.0,2900.0,1.127,0.883,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,395.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.0,,,,,0.0,25.0,,,,,,0.0,,,,,""
15673144676,"2 sept 2025, 16:40:17",Primera carrerita. 2/1.,Carrera,"",1632,"3,54",,,false,,,activities/15673144676.gpx,,,1632.0,1083.0,3542.3,5.56,3.271,3.5,3.5,7.9,11.6,5.2,0.0,,,,,,,,,340.0,,,,,,,,,,,,,,,,0.0,,1.0,3547.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.171,3542.3,,,,2694.0,0.0,,,,3.275,,,,,,,,media/92C6516A-EF3E-45FD-BA2E-AD1EC6F01258.jpg|media/BCEC03B5-9734-4289-8F0C-7C005DED00B6.jpg
15679106274,"3 sept 2025, 5:16:06",Natación de mañana,Natación,,2172,1.900,,,false,,,activities/16748032330.fit.gz,,,2172.0,2138.0,1900.0,2.47,0.889,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,252.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.0,,,,,0.0,25.0,,,,,,,,,,,""
15679225890,"3 sept 2025, 5:53:49",Natación de mañana,Natación,,972,850,,,false,,,activities/16748169566.fit.gz,,,972.0,956.0,850.0,0.943,0.889,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,111.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,0.0,,,,,0.0,25.0,,,,,,,,,,,""
15690965143,"4 sept 2025, 5:12:51",Natación de mañana/ 1x4/,Natación,"",3060,2.800,,,false,,,activities/16760954466.fit.gz,,,3060.0,3045.0,2800.0,2.362,0.92,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,357.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915,0.0,,,,,0.0,25.0,,,,,,0.0,,,,,""
15702279180,"5 sept 2025, 5:13:52",Natación de mañana. 1/4.,Natación,"",3269,3.000,,,false,,,activities/16773119178.fit.gz,,,3269.0,3228.0,3000.0,2.139,0.929,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,384.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918,0.0,,,,,0.0,25.0,,,,,,0.0,,,,,media/970F13DA-ED3E-4CDE-98BF-931DD6DBEC0B.jpg
15713253277,"6 sept 2025, 5:52:32",Natación con Borja. 5500. Que desastre de reloj. 😔,Natación,"",7334,3.078,,,false,,,activities/16784805467.fit.gz,,,7334.0,7327.0,3077.6,2.888,0.42,0.0,0.0,-0.2,0.1,0.1,0.0,,,,,,,,,505.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,media/36080CBC-CE07-422F-9BF4-273765A8FEAA.jpg|media/7A0B1D1A-4563-4992-ACF8-9B6D0B609FD5.jpg
15727704643,"7 sept 2025, 5:44:24",Con los TRICNP.,Bicicleta,"",20222,"78,13",,,false,,,activities/15727704643.gpx,,9.0,20222.0,11277.0,78133.7,14.06,6.929,828.7,519.5,7.4,706.3,9.7,0.0,,,,,,,,151.0,1898.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.864,36.1,,,,,0.0,,,,,,,0.0,,,,,media/82AD182E-489D-4423-8658-20924CAA6C9B.jpg|media/CC1BA78A-6E48-403E-85E2-4DEB6FAAC4EA.jpg
15736502068,"8 sept 2025, 5:12:27",Natación de mañana,Natación,,3398,3.000,,,false,,,activities/16809449343.fit.gz,,,3398.0,3374.0,3000.0,2.48,0.889,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,393.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883,0.0,,,,,0.0,25.0,,,,,,,,,,,""
15741869518,"8 sept 2025, 16:25:03",Carrerita con DV ( la gacela negra ),Carrera,"",1322,"3,96",165.0,84,false,,,activities/16815143313.fit.gz,,,1322.0,1252.0,3964.6,4.66,3.167,3.4,3.3,7.9,11.3,2.9,0.0,,,,,165.0,156.0,,,257.0,,,84.0,,,,,,,,,,,,,0.0,,1.0,3970.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.999,3718.6,,,,,0.0,,,,3.171,,,0.0,,,,,media/6A9D5933-E2A2-4698-9A87-56657D772A40.jpg
15748047007,"9 sept 2025, 5:13:06",Natación de mañana,Natación,,3394,3.000,,,false,,,activities/16821656723.fit.gz,,,3394.0,3311.0,3000.0,2.122,0.906,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,383.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,0.0,,,,,0.0,25.0,,,,,,,,,,,""
15760357632,"10 sept 2025, 5:14:15",Natación de mañana,Natación,,3254,3.000,,,false,,,activities/16834628796.fit.gz,,,3254.0,3158.0,3000.0,2.46,0.95,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,393.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,0.0,,,,,0.0,25.0,,,,,,,,,,,""
